level_0,index,Year,Month,Reporter,Trade_Flow,Partner,HS_Code,Commodity,Trade_Value_USD,Category,Sector,Tariff_Rate (%)
251,251,2021,52,USA,Export,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",279461349,Rare-Earth Compounds,Critical Minerals,25.0
252,252,2021,52,USA,Import,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",559900508,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
253,253,2021,52,USA,Export,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",30710488,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
254,254,2021,52,USA,Import,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",5435204580,Electric Batteries,Energy Storage,0.0
255,255,2021,52,USA,Export,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",85351711,Electric Batteries,Energy Storage,0.0
256,256,2021,52,USA,Import,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",5745138105,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
257,257,2021,52,USA,Export,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",97373745,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
258,258,2021,52,USA,Import,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",9641269093,Monitors & Television Receivers,Electronics,25.0
259,259,2021,52,USA,Export,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",30450181,Monitors & Television Receivers,Electronics,25.0
260,260,2021,52,USA,Import,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",10246837775,Vehicle Parts & Accessories,Automobile,25.0
261,261,2021,52,USA,Export,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",1764340764,Vehicle Parts & Accessories,Automobile,25.0
262,262,2021,52,USA,Import,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",2416000202,Medical & Surgical Instruments,Healthcare,25.0
263,263,2021,52,USA,Export,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",3742151179,Medical & Surgical Instruments,Healthcare,25.0
264,264,2022,52,USA,Export,China,2709,Petroleum oils and oils obtained from bituminous minerals; crude,6971487694,Crude Petroleum Oil,Energy,0.0
265,265,2022,52,USA,Import,China,2711,Petroleum gases and other gaseous hydrocarbons,2865609,Petroleum Gases (LNG/LPG),Energy,25.0
